,term,value
372,chaotic,-2
373,charged,-3
374,charges,-2
375,charm,3
376,charming,3
377,charmless,-3
378,chastise,-3
379,chastised,-3
380,chastises,-3
381,chastising,-3
382,cheat,-3
383,cheated,-3
384,cheater,-3
385,cheaters,-3
386,cheats,-3
387,cheer,2
388,cheered,2
389,cheerful,2
390,cheering,2
391,cheerless,-2
392,cheers,2
393,cheery,3
394,cherish,2
395,cherished,2
396,cherishes,2
397,cherishing,2
398,chic,2
399,childish,-2
400,chilling,-1
401,choke,-2
402,choked,-2
403,chokes,-2
404,choking,-2
405,clarifies,2
406,clarity,2
407,clash,-2
408,classy,3
409,clean,2
410,cleaner,2
411,clear,1
412,cleared,1
413,clearly,1
414,clears,1
415,clever,2
416,clouded,-1
417,clueless,-2
418,cock,-5
419,cocksucker,-5
420,cocksuckers,-5
421,cocky,-2
422,coerced,-2
423,collapse,-2
424,collapsed,-2
425,collapses,-2
426,collapsing,-2
427,collide,-1
428,collides,-1
429,colliding,-1
430,collision,-2
431,collisions,-2
432,colluding,-3
433,combat,-1
434,combats,-1
435,comedy,1
436,comfort,2
437,comfortable,2
438,comforting,2
439,comforts,2
440,commend,2
441,commended,2
442,commit,1
443,commitment,2
444,commits,1
445,committed,1
446,committing,1
447,compassionate,2
448,compelled,1
449,competent,2
450,competitive,2
451,complacent,-2
452,complain,-2
453,complained,-2
454,complains,-2
455,comprehensive,2
456,conciliate,2
457,conciliated,2
458,conciliates,2
459,conciliating,2
460,condemn,-2
461,condemnation,-2
462,condemned,-2
463,condemns,-2
464,confidence,2
465,confident,2
466,conflict,-2
467,conflicting,-2
468,conflictive,-2
469,conflicts,-2
470,confuse,-2
471,confused,-2
472,confusing,-2
473,congrats,2
474,congratulate,2
475,congratulation,2
476,congratulations,2
477,consent,2
478,consents,2
479,consolable,2
480,conspiracy,-3
481,constrained,-2
482,contagion,-2
483,contagions,-2
484,contagious,-1
485,contempt,-2
486,contemptuous,-2
487,contemptuously,-2
488,contend,-1
489,contender,-1
490,contending,-1
491,contentious,-2
492,contestable,-2
493,controversial,-2
494,controversially,-2
495,convince,1
496,convinced,1
497,convinces,1
498,convivial,2
499,cool,1
500,cool stuff,3
501,cornered,-2
502,corpse,-1
503,costly,-2
504,courage,2
505,courageous,2
506,courteous,2
507,courtesy,2
508,cover-up,-3
509,coward,-2
510,cowardly,-2
511,coziness,2
512,cramp,-1
513,crap,-3
514,crash,-2
515,crazier,-2
516,craziest,-2
517,crazy,-2
518,creative,2
519,crestfallen,-2
520,cried,-2
521,cries,-2
522,crime,-3
523,criminal,-3
524,criminals,-3
525,crisis,-3
526,critic,-2
527,criticism,-2
528,criticize,-2
529,criticized,-2
530,criticizes,-2
531,criticizing,-2
532,critics,-2
533,cruel,-3
534,cruelty,-3
535,crush,-1
536,crushed,-2
537,crushes,-1
538,crushing,-1
539,cry,-1
540,crying,-2
541,cunt,-5
542,curious,1
543,curse,-1
544,cut,-1
545,cute,2
546,cuts,-1
547,cutting,-1
548,cynic,-2
549,cynical,-2
550,cynicism,-2
551,damage,-3
552,damages,-3
553,damn,-4
554,damned,-4
555,damnit,-4
556,danger,-2
557,daredevil,2
558,daring,2
559,darkest,-2
560,darkness,-1
561,dauntless,2
562,dead,-3
563,deadlock,-2
564,deafening,-1
565,dear,2
566,dearly,3
567,death,-2
568,debonair,2
569,debt,-2
570,deceit,-3
571,deceitful,-3
572,deceive,-3
573,deceived,-3
574,deceives,-3
575,deceiving,-3
576,deception,-3
577,decisive,1
578,dedicated,2
579,defeated,-2
580,defect,-3
581,defects,-3
582,defender,2
583,defenders,2
584,defenseless,-2
585,defer,-1
586,deferring,-1
587,defiant,-1
588,deficit,-2
589,degrade,-2
590,degraded,-2
591,degrades,-2
592,dehumanize,-2
593,dehumanized,-2
594,dehumanizes,-2
595,dehumanizing,-2
596,deject,-2
597,dejected,-2
598,dejecting,-2
599,dejects,-2
600,delay,-1
601,delayed,-1
602,delight,3
603,delighted,3
604,delighting,3
605,delights,3
606,demand,-1
607,demanded,-1
608,demanding,-1
609,demands,-1
610,demonstration,-1
611,demoralized,-2
612,denied,-2
613,denier,-2
614,deniers,-2
615,denies,-2
616,denounce,-2
617,denounces,-2
618,deny,-2
619,denying,-2
620,depressed,-2
621,depressing,-2
622,derail,-2
623,derailed,-2
624,derails,-2
625,deride,-2
626,derided,-2
627,derides,-2
628,deriding,-2
629,derision,-2
630,desirable,2
631,desire,1
