,term,value
1545,mistaking,-2
1546,misunderstand,-2
1547,misunderstanding,-2
1548,misunderstands,-2
1549,misunderstood,-2
1550,moan,-2
1551,moaned,-2
1552,moaning,-2
1553,moans,-2
1554,mock,-2
1555,mocked,-2
1556,mocking,-2
1557,mocks,-2
1558,mongering,-2
1559,monopolize,-2
1560,monopolized,-2
1561,monopolizes,-2
1562,monopolizing,-2
1563,moody,-1
1564,mope,-1
1565,moping,-1
1566,moron,-3
1567,motherfucker,-5
1568,motherfucking,-5
1569,motivate,1
1570,motivated,2
1571,motivating,2
1572,motivation,1
1573,mourn,-2
1574,mourned,-2
1575,mournful,-2
1576,mourning,-2
1577,mourns,-2
1578,mumpish,-2
1579,murder,-2
1580,murderer,-2
1581,murdering,-3
1582,murderous,-3
1583,murders,-2
1584,myth,-1
1585,n00b,-2
1586,naive,-2
1587,nasty,-3
1588,natural,1
1589,naïve,-2
1590,needy,-2
1591,negative,-2
1592,negativity,-2
1593,neglect,-2
1594,neglected,-2
1595,neglecting,-2
1596,neglects,-2
1597,nerves,-1
1598,nervous,-2
1599,nervously,-2
1600,nice,3
1601,nifty,2
1602,niggas,-5
1603,nigger,-5
1604,no,-1
1605,no fun,-3
1606,noble,2
1607,noisy,-1
1608,nonsense,-2
1609,noob,-2
1610,nosey,-2
1611,not good,-2
1612,not working,-3
1613,notorious,-2
1614,novel,2
1615,numb,-1
1616,nuts,-3
1617,obliterate,-2
1618,obliterated,-2
1619,obnoxious,-3
1620,obscene,-2
1621,obsessed,2
1622,obsolete,-2
1623,obstacle,-2
1624,obstacles,-2
1625,obstinate,-2
1626,odd,-2
1627,offend,-2
1628,offended,-2
1629,offender,-2
1630,offending,-2
1631,offends,-2
1632,offline,-1
1633,oks,2
1634,ominous,3
1635,once-in-a-lifetime,3
1636,opportunities,2
1637,opportunity,2
1638,oppressed,-2
1639,oppressive,-2
1640,optimism,2
1641,optimistic,2
1642,optionless,-2
1643,outcry,-2
1644,outmaneuvered,-2
1645,outrage,-3
1646,outraged,-3
1647,outreach,2
1648,outstanding,5
1649,overjoyed,4
1650,overload,-1
1651,overlooked,-1
1652,overreact,-2
1653,overreacted,-2
1654,overreaction,-2
1655,overreacts,-2
1656,oversell,-2
1657,overselling,-2
1658,oversells,-2
1659,oversimplification,-2
1660,oversimplified,-2
1661,oversimplifies,-2
1662,oversimplify,-2
1663,overstatement,-2
1664,overstatements,-2
1665,overweight,-1
1666,oxymoron,-1
1667,pain,-2
1668,pained,-2
1669,panic,-3
1670,panicked,-3
1671,panics,-3
1672,paradise,3
1673,paradox,-1
1674,pardon,2
1675,pardoned,2
1676,pardoning,2
1677,pardons,2
1678,parley,-1
1679,passionate,2
1680,passive,-1
1681,passively,-1
1682,pathetic,-2
1683,pay,-1
1684,peace,2
1685,peaceful,2
1686,peacefully,2
1687,penalty,-2
1688,pensive,-1
1689,perfect,3
1690,perfected,2
1691,perfectly,3
1692,perfects,2
1693,peril,-2
1694,perjury,-3
1695,perpetrator,-2
1696,perpetrators,-2
1697,perplexed,-2
1698,persecute,-2
1699,persecuted,-2
1700,persecutes,-2
1701,persecuting,-2
1702,perturbed,-2
1703,pesky,-2
1704,pessimism,-2
1705,pessimistic,-2
1706,petrified,-2
1707,phobic,-2
1708,picturesque,2
1709,pileup,-1
1710,pique,-2
1711,piqued,-2
1712,piss,-4
1713,pissed,-4
1714,pissing,-3
1715,piteous,-2
1716,pitied,-1
1717,pity,-2
1718,playful,2
1719,pleasant,3
1720,please,1
1721,pleased,3
1722,pleasure,3
1723,poised,-2
1724,poison,-2
1725,poisoned,-2
1726,poisons,-2
1727,pollute,-2
1728,polluted,-2
1729,polluter,-2
1730,polluters,-2
1731,pollutes,-2
1732,poor,-2
1733,poorer,-2
1734,poorest,-2
1735,popular,3
1736,positive,2
1737,positively,2
1738,possessive,-2
1739,postpone,-1
1740,postponed,-1
1741,postpones,-1
1742,postponing,-1
1743,poverty,-1
1744,powerful,2
1745,powerless,-2
1746,praise,3
1747,praised,3
1748,praises,3
1749,praising,3
1750,pray,1
1751,praying,1
1752,prays,1
1753,prblm,-2
1754,prblms,-2
1755,prepared,1
1756,pressure,-1
1757,pressured,-2
1758,pretend,-1
1759,pretending,-1
1760,pretends,-1
1761,pretty,1
1762,prevent,-1
1763,prevented,-1
1764,preventing,-1
1765,prevents,-1
1766,prick,-5
1767,prison,-2
1768,prisoner,-2
1769,prisoners,-2
1770,privileged,2
1771,proactive,2
1772,problem,-2
1773,problems,-2
1774,profiteer,-2
1775,progress,2
1776,prominent,2
1777,promise,1
1778,promised,1
1779,promises,1
1780,promote,1
1781,promoted,1
1782,promotes,1
1783,promoting,1
1784,propaganda,-2
1785,prosecute,-1
1786,prosecuted,-2
1787,prosecutes,-1
1788,prosecution,-1
1789,prospect,1
1790,prospects,1
1791,prosperous,3
1792,protect,1
1793,protected,1
1794,protects,1
1795,protest,-2
1796,protesters,-2
1797,protesting,-2
1798,protests,-2
1799,proud,2
1800,proudly,2
1801,provoke,-1
1802,provoked,-1
1803,provokes,-1
1804,provoking,-1
1805,pseudoscience,-3
1806,punish,-2
1807,punished,-2
1808,punishes,-2
1809,punitive,-2
1810,pushy,-1
1811,puzzled,-2
1812,quaking,-2
1813,questionable,-2
1814,questioned,-1
1815,questioning,-1
1816,racism,-3
1817,racist,-3
1818,racists,-3
1819,rage,-2
1820,rageful,-2
1821,rainy,-1
1822,rant,-3
1823,ranter,-3
1824,ranters,-3
1825,rants,-3
1826,rape,-4
1827,rapist,-4
1828,rapture,2
1829,raptured,2
1830,raptures,2
1831,rapturous,4
1832,rash,-2
1833,ratified,2
1834,reach,1
1835,reached,1
1836,reaches,1
1837,reaching,1
1838,reassure,1
1839,reassured,1
1840,reassures,1
1841,reassuring,2
1842,rebellion,-2
1843,recession,-2
1844,reckless,-2
1845,recommend,2
1846,recommended,2
1847,recommends,2
1848,redeemed,2
1849,refuse,-2
1850,refused,-2
1851,refusing,-2
1852,regret,-2
1853,regretful,-2
1854,regrets,-2
1855,regretted,-2
1856,regretting,-2
1857,reject,-1
1858,rejected,-1
1859,rejecting,-1
1860,rejects,-1
1861,rejoice,4
1862,rejoiced,4
1863,rejoices,4
1864,rejoicing,4
1865,relaxed,2
1866,relentless,-1
1867,reliant,2
1868,relieve,1
1869,relieved,2
1870,relieves,1
1871,relieving,2
1872,relishing,2
1873,remarkable,2
1874,remorse,-2
1875,repulse,-1
1876,repulsed,-2
1877,rescue,2
1878,rescued,2
1879,rescues,2
1880,resentful,-2
1881,resign,-1
1882,resigned,-1
1883,resigning,-1
1884,resigns,-1
1885,resolute,2
1886,resolve,2
1887,resolved,2
1888,resolves,2
1889,resolving,2
1890,respected,2
1891,responsible,2
1892,responsive,2
1893,restful,2
1894,restless,-2
1895,restore,1
1896,restored,1
1897,restores,1
1898,restoring,1
1899,restrict,-2
1900,restricted,-2
1901,restricting,-2
1902,restriction,-2
1903,restricts,-2
1904,retained,-1
1905,retard,-2
1906,retarded,-2
1907,retreat,-1
1908,revenge,-2
1909,revengeful,-2
1910,revered,2
1911,revive,2
1912,revives,2
1913,reward,2
1914,rewarded,2
1915,rewarding,2
1916,rewards,2
1917,rich,2
1918,ridiculous,-3
1919,rig,-1
1920,rigged,-1
1921,right direction,3
1922,rigorous,3
1923,rigorously,3
1924,riot,-2
1925,riots,-2
1926,risk,-2
1927,risks,-2
1928,rob,-2
1929,robber,-2
1930,robed,-2
1931,robing,-2
1932,robs,-2
1933,robust,2
1934,rofl,4
1935,roflcopter,4
1936,roflmao,4
1937,romance,2
1938,rotfl,4
1939,rotflmfao,4
1940,rotflol,4
1941,ruin,-2
1942,ruined,-2
1943,ruining,-2
1944,ruins,-2
1945,sabotage,-2
1946,sad,-2
1947,sadden,-2
1948,saddened,-2
1949,sadly,-2
1950,safe,1
1951,safely,1
1952,safety,1
1953,salient,1
1954,sappy,-1
1955,sarcastic,-2
1956,satisfied,2
1957,save,2
1958,saved,2
1959,scam,-2
1960,scams,-2
1961,scandal,-3
1962,scandalous,-3
1963,scandals,-3
1964,scapegoat,-2
1965,scapegoats,-2
1966,scare,-2
1967,scared,-2
1968,scary,-2
1969,sceptical,-2
1970,scold,-2
1971,scoop,3
1972,scorn,-2
1973,scornful,-2
1974,scream,-2
1975,screamed,-2
1976,screaming,-2
1977,screams,-2
1978,screwed,-2
1979,screwed up,-3
1980,scumbag,-4
1981,secure,2
1982,secured,2
1983,secures,2
1984,sedition,-2
1985,seditious,-2
1986,seduced,-1
1987,self-confident,2
1988,self-deluded,-2
1989,selfish,-3
1990,selfishness,-3
1991,sentence,-2
1992,sentenced,-2
1993,sentences,-2
1994,sentencing,-2
1995,serene,2
1996,severe,-2
1997,sexy,3
1998,shaky,-2
1999,shame,-2
2000,shamed,-2
2001,shameful,-2
2002,share,1
2003,shared,1
2004,shares,1
2005,shattered,-2
2006,shit,-4
2007,shithead,-4
2008,shitty,-3
2009,shock,-2
2010,shocked,-2
2011,shocking,-2
2012,shocks,-2
2013,shoot,-1
2014,short-sighted,-2
2015,short-sightedness,-2
2016,shortage,-2
2017,shortages,-2
2018,shrew,-4
2019,shy,-1
2020,sick,-2
2021,sigh,-2
2022,significance,1
2023,significant,1
2024,silencing,-1
2025,silly,-1
2026,sincere,2
2027,sincerely,2
2028,sincerest,2
2029,sincerity,2
2030,sinful,-3
2031,singleminded,-2
2032,skeptic,-2
2033,skeptical,-2
2034,skepticism,-2
2035,skeptics,-2
2036,slam,-2
2037,slash,-2
2038,slashed,-2
2039,slashes,-2
2040,slashing,-2
2041,slavery,-3
2042,sleeplessness,-2
2043,slick,2
2044,slicker,2
2045,slickest,2
2046,sluggish,-2
2047,slut,-5
2048,smart,1
2049,smarter,2
2050,smartest,2
2051,smear,-2
2052,smile,2
2053,smiled,2
2054,smiles,2
2055,smiling,2
2056,smog,-2
2057,sneaky,-1
2058,snub,-2
2059,snubbed,-2
2060,snubbing,-2
2061,snubs,-2
2062,sobering,1
2063,solemn,-1
2064,solid,2
2065,solidarity,2
2066,solution,1
2067,solutions,1
2068,solve,1
2069,solved,1
2070,solves,1
2071,solving,1
2072,somber,-2
2073,some kind,0
2074,son-of-a-bitch,-5
2075,soothe,3
2076,soothed,3
2077,soothing,3
2078,sophisticated,2
2079,sore,-1
2080,sorrow,-2
2081,sorrowful,-2
2082,sorry,-1
2083,spam,-2
2084,spammer,-3
2085,spammers,-3
2086,spamming,-2
2087,spark,1
2088,sparkle,3
2089,sparkles,3
2090,sparkling,3
2091,speculative,-2
2092,spirit,1
2093,spirited,2
2094,spiritless,-2
2095,spiteful,-2
2096,splendid,3
2097,sprightly,2
2098,squelched,-1
2099,stab,-2
2100,stabbed,-2
2101,stable,2
2102,stabs,-2
2103,stall,-2
2104,stalled,-2
2105,stalling,-2
2106,stamina,2
2107,stampede,-2
2108,startled,-2
2109,starve,-2
2110,starved,-2
2111,starves,-2
2112,starving,-2
2113,steadfast,2
2114,steal,-2
2115,steals,-2
2116,stereotype,-2
2117,stereotyped,-2
2118,stifled,-1
2119,stimulate,1
2120,stimulated,1
2121,stimulates,1
2122,stimulating,2
2123,stingy,-2
2124,stolen,-2
2125,stop,-1
2126,stopped,-1
2127,stopping,-1
2128,stops,-1
2129,stout,2
2130,straight,1
2131,strange,-1
2132,strangely,-1
2133,strangled,-2
2134,strength,2
2135,strengthen,2
2136,strengthened,2
2137,strengthening,2
2138,strengthens,2
2139,stressed,-2
2140,stressor,-2
2141,stressors,-2
2142,stricken,-2
2143,strike,-1
2144,strikers,-2
2145,strikes,-1
2146,strong,2
2147,stronger,2
2148,strongest,2
2149,struck,-1
2150,struggle,-2
2151,struggled,-2
2152,struggles,-2
2153,struggling,-2
2154,stubborn,-2
2155,stuck,-2
2156,stunned,-2
2157,stunning,4
2158,stupid,-2
2159,stupidly,-2
2160,suave,2
2161,substantial,1
2162,substantially,1
2163,subversive,-2
2164,success,2
2165,successful,3
2166,suck,-3
2167,sucks,-3
2168,suffer,-2
2169,suffering,-2
2170,suffers,-2
2171,suicidal,-2
2172,suicide,-2
2173,suing,-2
2174,sulking,-2
2175,sulky,-2
2176,sullen,-2
2177,sunshine,2
2178,super,3
2179,superb,5
2180,superior,2
2181,support,2
2182,supported,2
2183,supporter,1
2184,supporters,1
2185,supporting,1
2186,supportive,2
2187,supports,2
2188,survived,2
2189,surviving,2
2190,survivor,2
2191,suspect,-1
2192,suspected,-1
2193,suspecting,-1
2194,suspects,-1
2195,suspend,-1
2196,suspended,-1
2197,suspicious,-2
2198,swear,-2
2199,swearing,-2
2200,swears,-2
2201,sweet,2
2202,swift,2
2203,swiftly,2
2204,swindle,-3
2205,swindles,-3
2206,swindling,-3
2207,sympathetic,2
2208,sympathy,2
2209,tard,-2
2210,tears,-2
2211,tender,2
2212,tense,-2
2213,tension,-1
2214,terrible,-3
2215,terribly,-3
2216,terrific,4
2217,terrified,-3
2218,terror,-3
2219,terrorize,-3
2220,terrorized,-3
2221,terrorizes,-3
2222,thank,2
2223,thankful,2
2224,thanks,2
2225,thorny,-2
2226,thoughtful,2
2227,thoughtless,-2
2228,threat,-2
2229,threaten,-2
2230,threatened,-2
2231,threatening,-2
2232,threatens,-2
2233,threats,-2
2234,thrilled,5
2235,thwart,-2
2236,thwarted,-2
2237,thwarting,-2
2238,thwarts,-2
2239,timid,-2
2240,timorous,-2
2241,tired,-2
2242,tits,-2
2243,tolerant,2
2244,toothless,-2
2245,top,2
2246,tops,2
2247,torn,-2
2248,torture,-4
2249,tortured,-4
2250,tortures,-4
2251,torturing,-4
2252,totalitarian,-2
2253,totalitarianism,-2
2254,tout,-2
2255,touted,-2
2256,touting,-2
2257,touts,-2
2258,tragedy,-2
2259,tragic,-2
2260,tranquil,2
2261,trap,-1
2262,trapped,-2
2263,trauma,-3
2264,traumatic,-3
2265,travesty,-2
2266,treason,-3
2267,treasonous,-3
2268,treasure,2
2269,treasures,2
2270,trembling,-2
2271,tremulous,-2
2272,tricked,-2
2273,trickery,-2
2274,triumph,4
2275,triumphant,4
2276,trouble,-2
2277,troubled,-2
2278,troubles,-2
2279,true,2
2280,trust,1
2281,trusted,2
2282,tumor,-2
2283,twat,-5
2284,ugly,-3
2285,unacceptable,-2
2286,unappreciated,-2
2287,unapproved,-2
2288,unaware,-2
2289,unbelievable,-1
2290,unbelieving,-1
2291,unbiased,2
2292,uncertain,-1
2293,unclear,-1
2294,uncomfortable,-2
2295,unconcerned,-2
2296,unconfirmed,-1
2297,unconvinced,-1
2298,uncredited,-1
2299,undecided,-1
2300,underestimate,-1
2301,underestimated,-1
2302,underestimates,-1
2303,underestimating,-1
2304,undermine,-2
2305,undermined,-2
2306,undermines,-2
2307,undermining,-2
2308,undeserving,-2
2309,undesirable,-2
2310,uneasy,-2
2311,unemployment,-2
2312,unequal,-1
2313,unequaled,2
2314,unethical,-2
2315,unfair,-2
2316,unfocused,-2
2317,unfulfilled,-2
2318,unhappy,-2
2319,unhealthy,-2
2320,unified,1
2321,unimpressed,-2
2322,unintelligent,-2
2323,united,1
2324,unjust,-2
2325,unlovable,-2
2326,unloved,-2
2327,unmatched,1
2328,unmotivated,-2
2329,unprofessional,-2
2330,unresearched,-2
2331,unsatisfied,-2
2332,unsecured,-2
2333,unsettled,-1
2334,unsophisticated,-2
2335,unstable,-2
2336,unstoppable,2
2337,unsupported,-2
2338,unsure,-1
2339,untarnished,2
2340,unwanted,-2
2341,unworthy,-2
2342,upset,-2
2343,upsets,-2
2344,upsetting,-2
2345,uptight,-2
2346,urgent,-1
2347,useful,2
2348,usefulness,2
2349,useless,-2
2350,uselessness,-2
2351,vague,-2
2352,validate,1
2353,validated,1
2354,validates,1
2355,validating,1
2356,verdict,-1
2357,verdicts,-1
2358,vested,1
2359,vexation,-2
2360,vexing,-2
2361,vibrant,3
2362,vicious,-2
2363,victim,-3
2364,victimize,-3
2365,victimized,-3
2366,victimizes,-3
2367,victimizing,-3
2368,victims,-3
2369,vigilant,3
2370,vile,-3
2371,vindicate,2
2372,vindicated,2
2373,vindicates,2
2374,vindicating,2
2375,violate,-2
2376,violated,-2
2377,violates,-2
2378,violating,-2
2379,violence,-3
2380,violent,-3
2381,virtuous,2
2382,virulent,-2
2383,vision,1
2384,visionary,3
2385,visioning,1
2386,visions,1
2387,vitality,3
2388,vitamin,1
2389,vitriolic,-3
2390,vivacious,3
2391,vociferous,-1
2392,vulnerability,-2
2393,vulnerable,-2
2394,walkout,-2
2395,walkouts,-2
2396,wanker,-3
2397,want,1
2398,war,-2
2399,warfare,-2
2400,warm,1
2401,warmth,2
2402,warn,-2
2403,warned,-2
2404,warning,-3
2405,warnings,-3
2406,warns,-2
2407,waste,-1
2408,wasted,-2
2409,wasting,-2
2410,wavering,-1
2411,weak,-2
2412,weakness,-2
2413,wealth,3
2414,wealthy,2
2415,weary,-2
2416,weep,-2
2417,weeping,-2
2418,weird,-2
2419,welcome,2
2420,welcomed,2
2421,welcomes,2
2422,whimsical,1
2423,whitewash,-3
2424,whore,-4
2425,wicked,-2
2426,widowed,-1
2427,willingness,2
2428,win,4
2429,winner,4
2430,winning,4
2431,wins,4
2432,winwin,3
2433,wish,1
2434,wishes,1
2435,wishing,1
2436,withdrawal,-3
2437,woebegone,-2
2438,woeful,-3
2439,won,3
2440,wonderful,4
2441,woo,3
2442,woohoo,3
2443,wooo,4
2444,woow,4
2445,worn,-1
2446,worried,-3
2447,worry,-3
2448,worrying,-3
2449,worse,-3
2450,worsen,-3
2451,worsened,-3
2452,worsening,-3
2453,worsens,-3
2454,worshiped,3
2455,worst,-3
2456,worth,2
2457,worthless,-2
2458,worthy,2
2459,wow,4
2460,wowow,4
2461,wowww,4
2462,wrathful,-3
2463,wreck,-2
2464,wrong,-2
2465,wronged,-2
2466,wtf,-4
2467,yeah,1
2468,yearning,1
2469,yeees,2
2470,yes,1
2471,youthful,2
2472,yucky,-2
2473,yummy,3
2474,zealot,-2
2475,zealots,-2
2476,zealous,2
